"month","day","hour","Day.of.Week","weekday","Peakhour","temperature","prediction_kWh"
"5","25","15","3","1","1",71,193.175499596311
"5","25","16","3","1","1",73,185.618270553067
"5","25","17","3","1","1",77,177.633036910378
"5","25","18","3","1","1",83,149.468529947238
"5","25","19","3","1","0",81,146.469138121957
"5","25","20","3","1","0",79,108.933051931063
"5","25","21","3","1","0",77,99.6349490508114
"5","25","22","3","1","0",74,87.7264008286599
"5","25","23","3","1","0",73,72.2136245389902
"5","26","0","4","1","0",72,73.3611193406262
"5","26","1","4","1","0",71,73.2961545566413
"5","26","2","4","1","0",70,73.1024383234694
"5","26","3","4","1","0",68,73.4728879941161
"5","26","4","4","1","0",67,75.4788889259678
"5","26","5","4","1","0",66,78.8376330991457
"5","26","6","4","1","1",66,181.604371726979
"5","26","7","4","1","1",68,204.900903332507
"5","26","8","4","1","1",71,220.026038807977
"5","26","9","4","1","1",73,225.102277587186
"5","26","10","4","1","1",73,226.994988177383
"5","26","11","4","1","1",73,226.978545847882
"5","26","12","4","1","1",75,222.760555509795
"5","26","13","4","1","1",75,219.013730492449
"5","26","14","4","1","1",76,205.280204422009
"5","26","15","4","1","1",76,195.902889589761
"5","26","16","4","1","1",75,188.384112931526
"5","26","17","4","1","1",74,180.462966597185
"5","26","18","4","1","1",74,152.375364404065
"5","26","19","4","1","0",72,149.375972578783
"5","26","20","4","1","0",70,111.839886387889
"5","26","21","4","1","0",69,102.528966045968
"5","26","22","4","1","0",67,90.6076003621467
"5","26","23","4","1","0",66,75.094824072477
"5","27","0","5","1","0",65,69.6778213973848
"5","27","1","5","1","0",64,69.6128566133999
"5","27","2","5","1","0",63,69.419140380228
"5","27","3","5","1","0",62,69.776772589205
"5","27","4","5","1","0",62,71.7699560593869
"5","27","5","5","1","0",61,75.1287002325648
"5","27","6","5","1","1",61,177.895438860398
"5","27","7","5","1","1",64,201.179153004256
"5","27","8","5","1","1",66,216.317105941396
"5","27","9","5","1","1",69,221.380527258935
