"kWh","month","day","hour","Day.of.Week","weekday","Peakhour","temperature"
78.405,"1","1","0","3","1","0",23
76.425,"1","1","1","3","1","0",21.9
78.015,"1","1","2","3","1","0",21.9
78.12,"1","1","3","3","1","0",21.9
77.535,"1","1","4","3","1","0",21
104.099999,"1","1","5","3","1","0",21
158.264998,"1","1","6","3","1","0",21
249.164995,"1","1","7","3","1","1",19.9
240.524994,"1","1","8","3","1","1",23
224.069994,"1","1","9","3","1","1",24.1
223.394993,"1","1","10","3","1","1",26.1
215.039996,"1","1","11","3","1","1",26.1
210.675,"1","1","12","3","1","1",27
196.049998,"1","1","13","3","1","1",28
196.559993,"1","1","14","3","1","1",27
151.829996,"1","1","15","3","1","1",27
103.739998,"1","1","16","3","1","1",26.1
99.584999,"1","1","17","3","1","1",25
97.589998,"1","1","18","3","1","1",24.1
91.47,"1","1","19","3","1","0",24.1
93.6,"1","1","20","3","1","0",23
79.35,"1","1","21","3","1","0",21.9
76.44,"1","1","22","3","1","0",23
78.975,"1","1","23","3","1","0",23
78.66,"1","2","0","4","1","0",21
77.385,"1","2","1","4","1","0",21.2
79.485,"1","2","2","4","1","0",19.4
83.685,"1","2","3","4","1","0",19.4
162.194999,"1","2","4","4","1","0",19.4
170.474997,"1","2","5","4","1","0",19.4
205.874997,"1","2","6","4","1","0",19.4
264.044997,"1","2","7","4","1","1",19.4
263.534995,"1","2","8","4","1","1",19.4
269.009995,"1","2","9","4","1","1",24.1
80.82,"1","2","10","4","1","1",26.6
33.45,"1","2","11","4","1","1",24.8
24.825,"1","2","12","4","1","1",24.1
28.995,"1","2","13","4","1","1",24.8
20.775,"1","2","14","4","1","1",19.9
6,"1","2","15","4","1","1",15.8
6.065,"1","2","16","4","1","1",12.2
6.13,"1","2","17","4","1","1",10.4
6.195,"1","2","18","4","1","1",8.1
6.26,"1","2","19","4","1","0",6.1
6.325,"1","2","20","4","1","0",6.8
6.39,"1","2","21","4","1","0",5
6.455,"1","2","22","4","1","0",3.2
6.52,"1","2","23","4","1","0",3.2
6.585,"1","3","0","5","1","0",1.4
6.65,"1","3","1","5","1","0",1.9
6.715,"1","3","2","5","1","0",1.9
6.78,"1","3","3","5","1","0",1.9
6.845,"1","3","4","5","1","0",1.4
6.91,"1","3","5","5","1","0",3.2
6.975,"1","3","6","5","1","0",3.2
50.79,"1","3","7","5","1","1",3.9
51.945,"1","3","8","5","1","1",5
40.275,"1","3","9","5","1","1",6.1
41.1,"1","3","10","5","1","1",8.6
40.995,"1","3","11","5","1","1",8.6
40.095,"1","3","12","5","1","1",12
39.06,"1","3","13","5","1","1",14
37.785,"1","3","14","5","1","1",14
20.295,"1","3","15","5","1","1",12.9
19.9710483870968,"1","3","16","5","1","1",10.9
19.6470967741935,"1","3","17","5","1","1",9
19.3231451612903,"1","3","18","5","1","1",7
18.9991935483871,"1","3","19","5","1","0",6.1
18.6752419354839,"1","3","20","5","1","0",5
