"Date","month","day","year","hour","Day.of.Week","weekday","Peakhour","temperature","prediction"
"12/1/2014",12,1,2014,0,1,1,0,51.98,15.7928912943618
"12/1/2014",12,1,2014,1,1,1,0,51.98,15.7928912943618
"12/1/2014",12,1,2014,2,1,1,0,51.08,15.7928912943618
"12/1/2014",12,1,2014,3,1,1,0,51.08,15.7928912943618
"12/1/2014",12,1,2014,4,1,1,0,51.08,15.7928912943618
"12/1/2014",12,1,2014,5,1,1,0,51.08,15.7928912943618
"12/1/2014",12,1,2014,6,1,1,1,50,15.7928912943618
"12/1/2014",12,1,2014,7,1,1,1,53.06,81.8203858596857
"12/1/2014",12,1,2014,8,1,1,1,55.94,81.8203858596857
"12/1/2014",12,1,2014,9,1,1,1,60.08,81.8203858596857
"12/1/2014",12,1,2014,10,1,1,1,60.08,81.8203858596857
"12/1/2014",12,1,2014,11,1,1,1,62.06,81.8203858596857
"12/1/2014",12,1,2014,12,1,1,1,62.96,81.8203858596857
"12/1/2014",12,1,2014,13,1,1,1,60.98,81.8203858596857
"12/1/2014",12,1,2014,14,1,1,1,57.92,81.8203858596857
"12/1/2014",12,1,2014,15,1,1,1,55.04,15.7928912943618
"12/1/2014",12,1,2014,16,1,1,1,53.06,15.7928912943618
"12/1/2014",12,1,2014,17,1,1,1,51.08,15.7928912943618
"12/1/2014",12,1,2014,18,1,1,1,48.92,15.7928912943618
"12/1/2014",12,1,2014,19,1,1,0,48.02,15.7928912943618
"12/1/2014",12,1,2014,20,1,1,0,46.94,15.7928912943618
"12/1/2014",12,1,2014,21,1,1,0,42.98,15.7928912943618
"12/1/2014",12,1,2014,22,1,1,0,41,15.7928912943618
"12/1/2014",12,1,2014,23,1,1,0,39.02,15.7928912943618
"12/2/2014",12,2,2014,0,2,1,0,37.94,15.7928912943618
"12/2/2014",12,2,2014,1,2,1,0,37.04,15.7928912943618
"12/2/2014",12,2,2014,2,2,1,0,35.96,15.7928912943618
"12/2/2014",12,2,2014,3,2,1,0,35.06,15.7928912943618
"12/2/2014",12,2,2014,4,2,1,0,35.06,15.7928912943618
"12/2/2014",12,2,2014,5,2,1,0,33.98,15.7928912943618
"12/2/2014",12,2,2014,6,2,1,1,33.98,15.7928912943618
"12/2/2014",12,2,2014,7,2,1,1,33.08,81.8203858596857
"12/2/2014",12,2,2014,8,2,1,1,33.08,81.8203858596857
